101501|"Masters"|"Prof."|"2"|4|0|1|1|1|1|1|0|0|"Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?"|                     
101502|"Bach."|"Sales"|"2"|3|0|1|1|0|1|1|1|0|"Affinity card is great. I think it is a hassle to have to remember to bring it in every time though."|                                                                                                                              
101503|"HS-grad"|"Cleric."|"2"|2|0|1|0|0|1|1|1|0|"I purchased a new computer recently, but the manuals weren't included.  Could you ship them to me directly?"|                                                                                                                   
101504|"Bach."|"Exec."|"3"|5|1|0|0|1|1|1|0|0|"Affinity card is great. I think it is a hassle to have to remember to bring it in every time though."|                                                                                                                              
101505|"Masters"|"Sales"|"9+"|5|1|1|1|0|1|1|0|0|"Why didn't you start a program like this before? Everyone else has been offering discounts like this for years."|                                                                                                                
101506|"HS-grad"|"Other"|"3"|4|0|1|1|1|1|1|0|0|"Forget it. I 'm not giving you all my personal information.  I wish you'd give up and respect a customer's privacy."|                                                                                                             
101507|"< Bach."|"Sales"|"3"|3|0|1|1|0|1|1|1|0|"It is a good way to attract new shoppers. After shopping at your store for more than a month, I am ready to move on though. Not enough variety"|                                                                                  
101508|"HS-grad"|"Sales"|"2"|2|0|1|1|0|1|1|1|0|"I shop your store a lot.  I love your weekly specials."|                                                                                                                                                                          
101509|"Bach."|"Other"|"3"|5|0|1|1|1|1|1|0|0|"Affinity card makese sense only for bulk purchases. For all others, driving so far is not worth the discount. Either offer free shipping or build a store close by."|                                                               
101510|"Bach."|"Sales"|"2"|3|1|1|1|0|1|1|1|0|"Could you send an Affinity Card to my mother in France?  Let me know and I'll send you here address."|                                                                                                                              
101511|"Bach."|"Sales"|"2"|5|0|1|0|0|1|1|0|0|"Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?"|                       
101512|"Profsc"|"Prof."|"2"|4|0|1|1|0|1|1|0|0|"The new affinity card is great. Thank you. I do  have to say that it is a hassle to remember to bring it  with me when I shop as I only shop at your store  for sale items. Could you keep my record in your computer?"|           
101513|"Bach."|"Sales"|"3"|3|0|1|1|0|1|1|0|0|"Thanks but even with your discounts, your products are too expensive. Sorry."|                                                                                                                                                      
101514|"HS-grad"|"Sales"|"2"|5|0|1|1|1|1|1|0|0|"Affinity card is great. I think it is a hassle to have to remember to bring it in every time though."|                                                                                                                            
101515|"11th"|"Other"|"9+"|2|0|1|1|1|0|1|0|0|"I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother."|                                                                                                                          
101516|"< Bach."|"Exec."|"3"|4|0|0|0|0|1|1|0|0|"Don't send me any more promotions.  I get too much lousy junk mail already"|                                                                                                                                                      
101517|"HS-grad"|"Sales"|"9+"|4|0|1|1|1|1|1|0|0|"Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?"|                    
101518|"5th-6th"|"Farming"|"6-8"|2|0|1|1|0|0|1|1|0|"Don't send me any more promotions.  I get too much lousy junk mail already"|                                                                                                                                                  
101519|"< Bach."|"Sales"|"9+"|5|0|1|1|1|1|1|0|0|"Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?"|                    
101520|"HS-grad"|"Transp."|"3"|5|1|0|0|1|1|1|0|0|"Affinity card is great. I think it is a hassle to have to remember to bring it in every time though."|                                                                                                                          
101521|"HS-grad"|"Other"|"3"|6|0|1|1|1|1|1|0|0|"I shop your store a lot.  I love your weekly specials."|                                                                                                                                                                          
101522|"Masters"|"Prof."|"2"|4|1|1|1|1|1|1|0|0|"If I forget my affinity card, can I still shop here and get the discount?"|                                                                                                                                                       
101523|"HS-grad"|"Sales"|"2"|2|0|1|1|0|1|1|1|0|"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions."|             
101524|"HS-grad"|"Machine"|"3"|5|0|1|1|1|1|1|0|0|"Thank you, But please remove my name from your list."|                                                                                                                                                                          
101525|"HS-grad"|"Sales"|"1"|1|0|1|1|0|1|1|1|0|"My brother uses the affinity card a lot. I think the competitor has better prices without it."|                                                                                                                                   
101526|"Profsc"|"Prof."|"3"|4|1|1|1|1|1|1|0|0|"I purchased a new computer recently, but the manuals weren't included.  Could you ship them to me directly?"|                                                                                                                      
101527|"< Bach."|"Cleric."|"1"|1|0|1|1|0|1|1|1|0|"I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?"|                                    
